UMPD CASENUMBER,OCCURRED DATE TIMELOCATION,REPORT DATE TIME,TYPE,DISPOSITION,LOCATION
2022-00015500,03/05/22 21:30,03/07/22 14:48,Assault,Unfounded,"15, Calvert, Calvert Hall at 7551  Calvert Service  Ln"
2022-00015550,03/07/22 20:04,03/07/22 20:04,Emergency Petition,CBE,6900 block of  Preinkert  Dr
2022-00015713,03/08/22 13:56,03/08/22 13:56,Injured/Sick Person,CBE,4200 block of  Farm  Dr
2022-00015760,03/08/22 20:00,03/08/22 20:07,Vandalism,Active/Pending,"Denton Area Dining Hall, Denton Dining Hall at 3951  Denton Service  Ln"
2022-00015803,03/09/22 00:02,03/09/22 00:02,DWI/DUI,Arrest,University  Blvd
2022-00015804,03/08/22 23:45,03/09/22 00:00,Missing Person/Runaway,CBE,"Brendan Iribe Center, Iribe Center at 8125  Paint Branch  Dr"
2022-00015821,03/09/22 01:33,03/09/22 01:33,DWI/DUI,Arrest,Chapel Field
2022-00015939,03/08/22 10:30,03/09/22 14:25,Theft,CBE,"68, Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
2022-00015977,03/09/22 19:03,03/09/22 19:03,Other Incident,CBE,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
2022-00016007,03/09/22 20:35,03/09/22 20:49,Suspicious Person/Auto,Unfounded,7500 block of  Yale  Ave
2022-00016013,03/09/22 19:45,03/09/22 19:45,Check on the  Welfare,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2022-00016088,03/10/22 01:14,03/10/22 01:14,DWI/DUI,Arrest,Baltimore  Ave
2022-00016212,03/04/22 07:00,03/10/22 12:18,Theft,Active/Pending,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2022-00016246,03/10/22 15:27,03/10/22 17:38,Theft,Investigation Pending,"Brendan Iribe Center, Iribe Center at 8125  Paint Branch  Dr"
2022-00016250,03/10/22 18:04,03/10/22 18:04,Emergency Petition,CBE,"Leonardtown #247, Leonardtown at 4713  Rossborough  Ln"
2022-00016255,03/02/22 00:01,03/10/22 19:16,Other Incident,CBE,"68, Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
2022-00016280,03/10/22 06:15,03/10/22 23:04,Theft,Unfounded,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
2022-00016307,03/10/22 23:52,03/10/22 23:52,Injured/Sick Person,CBE,Knox  Rd
2022-00016341,03/11/22 01:08,03/11/22 01:08,DWI/DUI,Arrest,Baltimore  Ave
2022-00016348,03/11/22 01:16,03/11/22 01:16,CDS Violation,Arrest,Baltimore  Ave
2022-00016357,03/11/22 02:23,03/11/22 02:23,Injured/Sick Person,CBE,Baltimore  Ave
2022-00016456,03/11/22 10:49,03/11/22 10:49,Injured/Sick Person,CBE,Jull Hall at 4196  Stadium  Dr
2022-00016491,03/11/22 13:36,03/11/22 13:36,Injured/Sick Person,CBE,8000 block of  La Plata  Dr
2022-00016535,03/11/22 17:06,03/11/22 17:06,Injured/Sick Person,CBE,Farm  Dr
2022-00016615,03/11/22 22:12,03/11/22 22:12,Injured/Sick Person,CBE,"63, Somerset, Somerset Hall at 7567  Preinkert  Dr"
2022-00016616,03/11/22 21:30,03/11/22 22:16,Assault,Investigation Pending,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
2022-00016643,03/12/22 00:09,03/12/22 00:09,DWI/DUI,Arrest,University  Blvd
2022-00016646,03/12/22 00:10,03/12/22 00:14,Injured/Sick Person,CBE,4400 block of  Knox  Rd
2022-00016650,03/12/22 00:23,03/12/22 00:23,Alarm,Active/Pending,"Commons 4, SCC 4, South Campus Commons 4 at 4310  Knox  Rd"
2022-00016656,03/12/22 01:00,03/12/22 01:00,Alcohol Violation,CBE,Washington Quad
2022-00016668,03/12/22 02:09,03/12/22 02:11,Assault,Active/Pending,Pot Bellys at 7422  Baltimore  Ave
2022-00016727,03/12/22 04:52,03/12/22 04:52,DWI/DUI,Arrest,University  Blvd
2022-00016743,03/12/22 08:40,03/12/22 08:40,Injured/Sick Person,CBE,Aquatics Center at 4098  Valley  Dr
2022-00016847,03/12/22 22:04,03/12/22 22:04,Injured/Sick Person,CBE,7400 block of  Preinkert  Dr
2022-00016848,03/12/22 22:08,03/12/22 22:08,Injured/Sick Person,CBE,"7-11 Guilford, 7-Eleven Guilford at 7201  Baltimore  Ave"
2022-00016850,03/12/22 22:30,03/12/22 22:30,Vandalism,Investigation Pending,4300 block of  Knox  Rd
2022-00016883,03/13/22 01:19,03/13/22 01:19,Assist Other Agency / Other,CBE,"51, Worcester, Worcester Hall at 7405  Preinkert  Dr"
2022-00017096,03/14/22 02:32,03/14/22 02:32,DWI/DUI,Arrest,"Motor Pool, Severn, Severn Building, Terp Trader, Washington Post Building at 5245  Greenbelt  Rd"
2022-00017211,03/13/22 20:00,03/14/22 11:24,Dept Property Damage/Loss,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2022-00017499,03/11/22 12:00,03/15/22 07:56,Dept Property Damage/Loss,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2022-00017616,03/14/20 20:00,03/15/22 15:00,Assist Other Agency / Rape,CBE,"78, Armory, Reckord Armory at 4490  Rossborough  Ln"
2022-00017674,03/15/22 08:00,03/15/22 20:05,Injured/Sick Person,CBE,"64, Dorchester, Dorchester Hall at 3947  Campus  Dr"
2022-00017676,03/15/22 20:19,03/15/22 20:19,Injured/Sick Person,CBE,4200 block of  Lehigh  Rd
2022-00017735,03/16/22 00:15,03/16/22 01:31,Assist Other Agency / Robbery,CBE,4800 block of  Berwyn House  Rd
2022-00017784,03/16/22 06:15,03/16/22 07:53,Theft,Investigation Pending,7600 block of  Baltimore  Ave
2022-00017790,02/01/22 08:00,03/16/22 08:14,Theft,Investigation Pending,Jull Hall at 4196  Stadium  Dr
2022-00017925,03/16/22 18:21,03/16/22 18:21,Title IX Incident Non Criminal,CBE,"35, McKeldin Library at 7649  Library  Ln"
2022-00017984,03/16/22 23:51,03/16/22 23:51,Suspicious Person/Auto,CBE,"81, Wind Tunnel Building at 8167  Paint Branch  Dr"
2022-00017999,03/17/22 01:34,03/17/22 01:34,DWI/DUI,Arrest,Mowatt  Ln
2022-00018021,03/16/22 12:00,03/17/22 07:21,Damage to State Property,Active/Pending,Championship  Ln
2022-00018078,03/17/22 11:39,03/17/22 11:39,Injured/Sick Person,CBE,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2022-00018100,03/16/22 14:15,03/17/22 13:05,Other Incident,CBE,"84, Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176  Campus  Dr"
2022-00018191,03/17/22 22:09,03/17/22 22:09,CDS Violation,CBE,4200 block of  Farm  Dr
2022-00018197,03/17/22 22:40,03/17/22 22:40,CDS Violation,Arrest,Baltimore  Ave
2022-00018214,03/18/22 00:06,03/18/22 00:06,Injured/Sick Person,CBE,"32, Montgomery, Montgomery Hall at 7570  Regents  Dr"
2022-00018237,03/18/22 01:28,03/18/22 01:28,DWI/DUI,Arrest,Baltimore  Ave
2022-00018246,03/18/22 02:23,03/18/22 02:23,DWI/DUI,Arrest,Baltimore  Ave
2022-00018264,03/18/22 03:16,03/18/22 03:16,DWI/DUI,Arrest,Regents  Dr
2022-00018268,03/18/22 03:25,03/18/22 03:25,DWI/DUI,Arrest,Fieldhouse  Dr
2022-00018285,03/18/22 04:44,03/18/22 04:44,CDS Violation,Arrest,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
2022-00018286,03/18/22 04:40,03/18/22 04:45,Emergency Petition,CBE,College Park Towers (Knox Road) at 4313  Knox  Rd
2022-00018361,03/18/22 11:38,03/18/22 11:48,Suspicious Activity,Active/Pending,"35, McKeldin Library at 7649  Library  Ln"
2022-00018437,03/18/22 19:56,03/18/22 19:56,CDS Violation,Arrest,"Prince Frederick, Prince Frederick Hall at 7030  Preinkert  Dr"
2022-00018497,03/18/22 23:16,03/18/22 23:16,Injured/Sick Person,CBE,UMGC Inn & Conference Center at 345  Ehrensberger  Dr
2022-00018546,03/16/22 18:00,03/19/22 01:37,Theft,Unfounded,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2022-00018550,03/19/22 01:59,03/19/22 01:59,DWI/DUI,Arrest,University  Blvd
2022-00018552,03/19/22 02:08,03/19/22 02:08,DWI/DUI,Arrest,University  Blvd
2022-00018613,03/19/22 09:42,03/19/22 09:42,Other Incident,CBE,3900 block of  Denton Service  Ln
2022-00018780,03/20/22 00:00,03/20/22 00:00,Injured/Sick Person,CBE,4500 block of  Knox  Rd
2022-00018826,03/20/22 03:18,03/20/22 03:18,DWI/DUI,Arrest,University  Blvd
2022-00018827,03/20/22 03:52,03/20/22 03:52,DWI/DUI,Arrest,Greenbelt  Rd
2022-00018949,03/18/22 09:05,03/20/22 15:06,Stolen Motor Vehicle,Unfounded,Championship  Ln
2022-00019081,03/21/22 00:20,03/21/22 00:20,DWI/DUI,Arrest,University  Blvd
2022-00019099,03/21/22 02:43,03/21/22 02:43,DWI/DUI,Arrest,University  Blvd
2022-00019266,03/21/22 16:53,03/21/22 16:53,Injured/Sick Person,CBE,Animal Science Building at 8127  Regents  Dr
2022-00019290,03/21/22 18:44,03/21/22 18:44,CDS Violation,Arrest,University  Blvd
2022-00019545,03/18/22 02:00,03/22/22 21:55,Assist Other Agency / Burglary,CBE,4300 block of  Hartwick  Rd
2022-00019570,03/22/22 23:04,03/22/22 23:04,CDS Violation,Arrest,Rossborough  Ln
2022-00019573,03/22/22 23:15,03/22/22 23:15,DWI/DUI,Arrest,Knox  Rd
2022-00019954,03/23/22 13:00,03/24/22 07:43,Theft,Investigation Pending,Lot L
2022-00020071,03/24/22 16:00,03/24/22 16:31,Hazardous Condition,CBE,"Avrum Gudelsky Veterinary Center, Vet Med at 8075  Greenmead  Dr"
2022-00020139,03/24/22 22:25,03/24/22 22:25,CDS Violation,Arrest,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
2022-00020232,03/25/22 02:23,03/25/22 02:23,CDS Violation,Arrest,University  Blvd
2022-00020618,03/26/22 01:31,03/26/22 01:31,DWI/DUI,Arrest,Adelphi  Rd
2022-00020807,03/26/22 17:40,03/26/22 17:50,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
2022-00021004,03/18/22 08:00,03/27/22 14:36,Theft,Unfounded,"Commons 2, SCC 2, South Campus Commons 2 at 7524  Calvert Service  Ln"
2022-00021005,03/27/22 03:23,03/27/22 14:43,Assist Other Agency / Suspicous Person/Auto,CBE,4700 block of  College  Ave
2022-00021050,03/19/22 15:00,03/27/22 18:01,Theft,Unfounded,"Commons 2, SCC 2, South Campus Commons 2 at 7524  Calvert Service  Ln"
2022-00021334,03/28/22 10:00,03/28/22 11:42,Theft,Investigation Pending,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2022-00021355,03/17/22 12:00,03/28/22 12:09,Theft,CBE,"8, Annapolis, Annapolis Hall at 7626  Regents  Dr"
2022-00021372,03/28/22 12:56,03/28/22 12:56,CDS Violation,Arrest,University  Blvd
2022-00021404,03/28/22 14:35,03/28/22 15:25,Accident - Departmental,CBE,200 block of  Valley Brook Dr
2022-00021724,03/29/22 11:42,03/29/22 11:42,Emergency Petition,CBE,4200 block of  Chapel  Ln
2022-00021729,03/29/22 11:43,03/29/22 12:27,Missing Person/Runaway,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2022-00021738,03/27/22 19:00,03/29/22 14:25,Theft,Active/Pending,Hagerstown Hall at 8075  Hagerstown  Dr
2022-00021993,03/30/22 10:02,03/30/22 10:02,Emergency Petition,CBE,Health Center at 3983  Campus  Dr
2022-00021995,03/30/22 07:45,03/30/22 10:20,Suspicious Person/Auto,CBE,4400 block of  Rossborough  Ln
2022-00021999,03/17/22 16:00,03/30/22 11:18,Theft,Investigation Pending,"Commons 1, SCC 1, South Campus Commons 1 at 4250  Lehigh  Rd"
2022-00022009,03/30/22 12:17,03/30/22 12:17,Trespassing,CBE,"Edward St. John Learning and Teaching Center, ESJ at 4131  Campus  Dr"
2022-00022085,03/30/22 18:57,03/30/22 18:57,Injured/Sick Person,CBE,7400 block of  Princeton  Ave
2022-00022628,04/01/22 16:37,04/01/22 16:57,Harassment/Stalking (Title IX Related),CBE,"26, South Campus Dining Hall at 7093  Preinkert  Dr"
2022-00022850,04/02/22 05:57,04/02/22 05:57,DWI/DUI,Arrest,University  Blvd
2022-00022992,04/02/22 17:00,04/02/22 18:45,Stolen Motor Vehicle,Arrest,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2022-00023047,04/02/22 22:01,04/02/22 22:01,Assist Other Agency / Check on the Welfare,CBE,8200 block of  Baltimore  Ave
2022-00023074,04/02/22 23:00,04/02/22 23:16,Check on the  Welfare,CBE,"40, Morrill Hall at 7313  Preinkert  Dr"
2022-00023091,04/03/22 00:32,04/03/22 00:32,Injured/Sick Person,CBE,"Frat 2, Pi Kappa Alpha, Pi Kappa Alpha Fraternity at 2  Fraternity  Row"
2022-00023119,04/03/22 02:27,04/03/22 02:27,DWI/DUI,Arrest,University  Blvd
2022-00023412,04/04/22 01:07,04/04/22 01:07,DWI/DUI,Arrest,8400 block of  Baltimore  Ave
2022-00023550,04/04/22 09:50,04/04/22 10:01,Assault,Arrest,7600 block of  Library  Ln
2022-00023585,03/19/22 07:00,04/04/22 13:08,Theft,CBE,"Commons 2, SCC 2, South Campus Commons 2 at 7524  Calvert Service  Ln"
2022-00023889,04/02/22 09:30,04/05/22 16:35,Sex Offense,Arrest,"14, Harford Hall at 7660  Regents  Dr"
2022-00023902,04/05/22 17:45,04/05/22 17:53,Injured/Sick Person,CBE,Lot 11b
2022-00023928,04/05/22 20:50,04/05/22 20:50,Other Incident,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2022-00024045,04/05/22 12:00,04/06/22 06:44,Injured/Sick Person,CBE,4200 block of  Valley  Dr
2022-00024132,04/06/22 15:00,04/06/22 15:25,Harassment/Stalking,Investigation Pending,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2022-00024156,04/06/22 17:00,04/06/22 17:00,CDS Violation,Arrest,University  Blvd
2022-00024171,04/06/22 17:45,04/06/22 17:53,Injured/Sick Person,CBE,4100 block of  Valley  Dr
2022-00024185,04/06/22 19:33,04/06/22 19:33,Injured/Sick Person,CBE,Health Center at 3983  Campus  Dr
2022-00024217,04/06/22 23:10,04/06/22 23:17,Assist Other Agency / Other,CBE,Baltimore  Ave
2022-00024366,04/07/22 03:00,04/07/22 10:07,Theft,Investigation Pending,7600 block of  Regents  Dr
2022-00024490,04/06/22 10:50,04/07/22 18:27,Theft,CBE,"36, Plant Sciences Building at 4291  Fieldhouse  Dr"
2022-00024510,04/07/22 21:01,04/07/22 21:01,Emergency Petition,CBE,Hagerstown Hall at 8075  Hagerstown  Dr
2022-00024527,04/07/22 22:57,04/07/22 22:57,Injured/Sick Person,CBE,"Marathon, Marathon Deli at 7412  Baltimore  Ave"
2022-00024721,04/08/22 06:59,04/08/22 10:21,Telephone/EMail Misuse,Active/Pending,"26, South Campus Dining Hall at 7093  Preinkert  Dr"
2022-00024724,04/08/22 11:01,04/08/22 11:01,Hate Bias Incident,Investigation Pending,4200 block of  Farm  Dr
2022-00024735,04/08/22 00:30,04/08/22 12:22,Suspicious Activity,Investigation Pending,3400 block of  Tulane  Dr
2022-00024736,04/07/22 12:20,04/08/22 12:46,Other Incident,Investigation Pending,"Edward St. John Learning and Teaching Center, ESJ at 4131  Campus  Dr"
2022-00024787,04/08/22 17:15,04/08/22 17:15,DWI/DUI,Arrest,Adelphi  Rd
2022-00024932,04/09/22 02:06,04/09/22 02:06,DWI/DUI,Arrest,Baltimore  Ave
2022-00024941,04/09/22 03:03,04/09/22 03:03,DWI/DUI,Arrest,Baltimore  Ave
2022-00025054,04/09/22 12:00,04/09/22 12:00,Vandalism,CBE,"College Park Fire Station, Company 12 at 8115  Baltimore  Ave"
2022-00025084,04/09/22 13:00,04/09/22 15:07,Damage to State Property,CBE,"Alpha Epsilon Pi, Frat 4 at 4  Fraternity  Row"
2022-00025185,04/08/22 22:00,04/09/22 22:54,Hate Bias Incident,Investigation Pending,"Elkton, Elkton Hall at 3981  Denton Service  Ln"
2022-00025244,04/10/22 02:30,04/10/22 02:50,Injured/Sick Person,CBE,"32, Montgomery, Montgomery Hall at 7570  Regents  Dr"
2022-00025416,04/10/22 17:35,04/10/22 17:42,Indecent Exposure (Title IX Related),Unfounded,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2022-00025476,04/10/22 23:57,04/10/22 23:57,DWI/DUI,Arrest,McDonald's at 8301  Baltimore  Ave
2022-00025715,03/20/22 07:46,04/11/22 17:16,Missing Person/Runaway,CBE,"Drazek Circle, UMGC at 346  Ehrensberger  Dr"
2022-00025756,04/11/22 19:00,04/11/22 22:32,Theft,Investigation Pending,"Pyon Chen, Pyon-Chen Hall at 8097  La Plata  Dr"
2022-00025855,04/12/22 08:33,04/12/22 08:33,Injured/Sick Person,CBE,"Denton Area Dining Hall, Denton Dining Hall at 3951  Denton Service  Ln"
2022-00025880,04/12/22 10:59,04/12/22 10:59,Assist Other Agency / Theft,CBE,948 at 4600  River  Rd
2022-00025885,03/01/21 00:01,04/12/22 11:48,Rape,CBE,La Plata Hall at 8160  La Plata  Dr
2022-00026037,04/12/22 22:50,04/12/22 22:52,Injured/Sick Person,CBE,"96, Cambridge, Cambridge Hall at 4230  Farm  Dr"
2022-00026124,04/13/22 05:31,04/13/22 05:31,Injured/Sick Person,CBE,"Commons 1, SCC 1, South Campus Commons 1 at 4250  Lehigh  Rd"
2022-00026180,04/13/22 10:47,04/13/22 10:47,Accident - Departmental,CBE,Lot 16f
2022-00026283,03/20/22 13:00,04/13/22 18:30,Theft,Investigation Pending,"Commons 1, SCC 1, South Campus Commons 1 at 4250  Lehigh  Rd"
2022-00026320,04/13/22 22:57,04/13/22 22:57,CDS Violation,CBE,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
2022-00026352,04/13/22 14:00,04/14/22 01:08,Extortion,CBE,"96, Cambridge, Cambridge Hall at 4230  Farm  Dr"
2022-00026367,04/14/22 02:18,04/14/22 02:18,Assist Other Agency / Other,CBE,9300 block of  Cherry Hill  Rd
2022-00026509,04/14/22 14:00,04/14/22 15:51,Theft,Warrant Issued,"Edward St. John Learning and Teaching Center, ESJ at 4131  Campus  Dr"
2022-00026521,04/01/22 12:00,04/14/22 16:18,Theft,Unfounded,"Commons 2, SCC 2, South Campus Commons 2 at 7524  Calvert Service  Ln"
2022-00026621,04/14/22 21:03,04/14/22 21:03,Injured/Sick Person,CBE,"35, McKeldin Library at 7649  Library  Ln"
2022-00026629,04/13/22 22:00,04/14/22 21:40,Hate Bias Incident,Active/Pending,7000 block of  Preinkert  Dr
2022-00026630,04/14/22 21:40,04/14/22 21:50,Suspicious Person/Auto,CBE,Cumberland Hall at 4250  Farm  Dr
2022-00026650,04/14/22 23:09,04/14/22 23:09,CDS Violation,Arrest,Baltimore  Ave
2022-00026679,04/15/22 01:43,04/15/22 01:43,Theft,Arrest,"Capital One Field, Capital One Field at Maryland Stadium, Maryland Stadium, Stadium"
2022-00026756,04/14/22 17:00,04/15/22 06:51,Stolen Motor Vehicle,Arrest,Lot 5
2022-00026936,04/15/22 23:59,04/15/22 23:59,DWI/DUI,Arrest,Baltimore  Ave
2022-00026966,04/16/22 01:58,04/16/22 01:58,Alarm,CBE,"24, Allegany, Allegany Hall at 4299  Lehigh  Rd"
2022-00026986,04/16/22 03:52,04/16/22 04:21,Trespassing,Active/Pending,"82, John S. Toll Physics Building, Physics, Physics Building at 4150  Campus  Dr"
2022-00027157,04/16/22 19:54,04/16/22 19:54,Injured/Sick Person,CBE,"46, Marie Mount, Marie Mount Hall at 7814  Regents  Dr"
2022-00027171,04/16/22 20:49,04/16/22 20:49,Injured/Sick Person,CBE,McKeldin Mall
2022-00027196,04/16/22 21:42,04/16/22 22:57,Rape,Arrest,Geology Building at 8000  Regents  Dr
2022-00027219,04/17/22 01:30,04/17/22 01:36,Suspicious Activity (Title IX Related),CBE,"Alpha Epsilon Phi, Alpha Epsilon Phi Sorority, Frat 11 at 11  Fraternity  Row"
2022-00027227,04/17/22 02:56,04/17/22 02:56,Injured/Sick Person,CBE,8100 block of  La Plata  Dr
2022-00027229,04/17/22 03:24,04/17/22 03:24,Suspicious Activity,CBE,"Alpha Delta Pi Sorority, Alpha Delti Pi at 4535  College  Ave"
2022-00027244,04/17/22 04:58,04/17/22 04:58,DWI/DUI,Arrest,Baltimore  Ave
2022-00027384,04/17/22 19:31,04/17/22 19:31,Injured/Sick Person,CBE,"26, South Campus Dining Hall at 7093  Preinkert  Dr"
2022-00027561,04/18/22 09:20,04/18/22 09:20,Emergency Petition,CBE,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
2022-00027583,04/16/22 06:39,04/18/22 10:43,Telephone/EMail Misuse,CBE,"Drazek Circle, UMGC at 346  Ehrensberger  Dr"
2022-00027593,04/18/22 11:20,04/18/22 11:51,Theft,Investigation Pending,"39, Van Munching, Van Munching Hall at 7699  Mowatt  Ln"
2022-00027653,04/18/22 12:00,04/18/22 14:45,Theft,Active/Pending,"36, Plant Sciences Building at 4291  Fieldhouse  Dr"
2022-00027933,04/19/22 13:30,04/19/22 14:32,Other Incident,CBE,"Alpha Delta Pi Sorority, Alpha Delti Pi at 4535  College  Ave"
2022-00027940,04/19/22 17:15,04/19/22 17:15,Damage to State Property,CBE,"26, South Campus Dining Hall at 7093  Preinkert  Dr"
2022-00027948,04/19/22 18:00,04/19/22 18:08,Vandalism,Arrest,"26, South Campus Dining Hall at 7093  Preinkert  Dr"
2022-00027950,04/14/22 12:00,04/19/22 19:17,Other Service Call,CBE,3900 block of  Denton Service  Ln
2022-00027951,04/19/22 20:10,04/19/22 20:10,Emergency Petition,CBE,3900 block of  Denton Service  Ln
2022-00027956,04/19/22 20:58,04/19/22 20:58,Vandalism,Investigation Pending,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
2022-00028215,04/20/22 14:49,04/20/22 14:49,Other Incident,Unfounded,"39, Van Munching, Van Munching Hall at 7699  Mowatt  Ln"
2022-00028216,04/20/22 15:24,04/20/22 15:24,Emergency Petition,CBE,"37, Shoemaker, Shoemaker Building at 4281  Chapel  Ln"
2022-00028235,04/20/22 19:50,04/20/22 19:50,Check on the  Welfare,CBE,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln"
2022-00028236,04/20/22 20:21,04/20/22 20:21,Injured/Sick Person,CBE,"Elkton, Elkton Hall at 3981  Denton Service  Ln"
2022-00028237,04/20/22 20:59,04/20/22 20:59,Vandalism,CBE,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2022-00028311,04/21/22 03:53,04/21/22 03:53,DWI/DUI,Arrest,University  Blvd
2022-00028345,04/21/22 05:00,04/21/22 05:43,Injured/Sick Person,CBE,8200 block of  Boteler  Ln
2022-00028419,04/21/22 12:00,04/21/22 12:12,Fire,CBE,Golf Course Parking Lot
2022-00028462,04/21/22 16:45,04/21/22 16:45,Damaged Property,CBE,"Commons 7, SCC 7, South Campus Commons 7 at 6801  Preinkert  Dr"
2022-00028486,04/21/22 19:40,04/21/22 19:40,Injured/Sick Person,CBE,"68, Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
2022-00028533,04/21/22 23:58,04/21/22 23:58,Stolen Motor Vehicle,Arrest,"Club House, Golf Course Club House at 3800  Golf Course  Rd"
2022-00028745,04/22/22 17:49,04/22/22 17:49,Injured/Sick Person,CBE,4300 block of  Rowalt  Dr
2022-00028783,04/22/22 19:45,04/22/22 20:11,Assist Other Agency / Suspicous Person/Auto,Active/Pending,"Clarion Inn, Lidl at 8601  Baltimore  Ave"
2022-00028798,04/22/22 21:09,04/22/22 21:09,Injured/Sick Person,CBE,4700 block of  College  Ave
2022-00028818,04/22/22 22:08,04/22/22 22:08,CDS Violation,Arrest,"Denton, Denton Hall at 3854  Stadium  Dr"
2022-00028832,04/22/22 19:36,04/22/22 23:14,Other Incident,CBE,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2022-00028834,04/22/22 23:32,04/22/22 23:31,Injured/Sick Person,CBE,8600 block of  Boteler  Ln
2022-00028845,04/23/22 00:13,04/23/22 00:13,Injured/Sick Person,CBE,7300 block of  Baltimore  Ave
2022-00028846,04/23/22 00:10,04/23/22 00:17,Suspicious Person/Auto,CBE,"Leonardtown, Leonardtown #201, Leonardtown Leonardtown Office Building at 4725  Rossborough  Ln"
2022-00028858,04/23/22 02:01,04/23/22 02:01,Injured/Sick Person,CBE,"Cornerstone, Cornerstone Grill at 7325  Baltimore  Ave"
2022-00028861,04/23/22 02:25,04/23/22 02:25,Alcohol Violation,CBE,3800 block of  Stadium  Dr
2022-00028883,04/23/22 04:17,04/23/22 04:17,Injured/Sick Person,CBE,7500 block of  Calvert Service  Ln
2022-00028888,04/23/22 04:00,04/23/22 06:24,Injured/Sick Person,CBE,3900 block of  Denton Service  Ln
2022-00028975,04/23/22 14:00,04/23/22 14:08,Injured/Sick Person,CBE,"11, The Hall at 4656  Hotel  Dr"
2022-00029031,04/23/22 20:48,04/23/22 20:48,Injured/Sick Person,CBE,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2022-00029102,04/24/22 04:11,04/24/22 04:11,Assist Other Agency / Check on the Welfare,CBE,3700 block of  Campus  Dr
2022-00029133,04/23/22 21:00,04/24/22 08:05,Theft,Arrest,"91, Chemistry, Chemistry Building at 8051  Regents  Dr"
2022-00029182,04/24/22 03:54,04/24/22 10:30,Assist Other Agency / Burglary,Active/Pending,7500 block of  Rhode Island  Ave
2022-00029224,04/24/22 12:31,04/24/22 12:31,Injured/Sick Person,CBE,"35, McKeldin Library at 7649  Library  Ln"
2022-00029227,04/24/22 12:40,04/24/22 12:52,Injured/Sick Person,CBE,La Plata Hall at 8160  La Plata  Dr
2022-00029234,04/23/22 15:00,04/24/22 13:50,Theft,Investigation Pending,Cumberland Hall at 4250  Farm  Dr
2022-00029258,04/23/22 16:15,04/24/22 16:19,Theft,Active/Pending,University Courtyard #4 at 8400  Boteler  Ln
2022-00029291,04/24/22 20:25,04/24/22 20:25,Injured/Sick Person,CBE,4500 block of  College  Ave
2022-00029344,04/24/22 23:23,04/24/22 23:23,DWI/DUI,Arrest,Greenbelt  Rd
2022-00029479,04/25/22 10:45,04/25/22 10:45,Fire,CBE,7900 block of  Regents  Dr
2022-00029515,04/24/22 15:00,04/25/22 12:34,Other Incident,CBE,University Courtyard Clubhouse at 8000  Boteler  Ln
2022-00029520,04/25/22 02:00,04/25/22 13:02,Extortion,Active/Pending,4300 block of  Knox  Rd
2022-00029558,04/21/22 15:00,04/25/22 16:18,Theft,Active/Pending,"28, Howard, Howard Hall at 4296  Lehigh  Rd"
2022-00029565,04/25/22 17:06,04/25/22 17:06,CDS Violation,Arrest,7200 block of  Baltimore  Ave
